key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:sponsor
sponsorship-08,ABCDE123,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-09,AA00-ABCDE123456,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-10,AA00-ABCD,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-11,AA000-ABCDE123,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-12,AAA00-ABCDE123,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
# name - standard variations,,,,,,,,,,
sponsorship-13,AA00-ABCDE123,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-14,AA00-ABCDE124,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
# description - standard variations,,,,,,,,,,
sponsorship-15,AA00-ABCDE125,"Lorem ipsum dolor sit amet, consectetu",,2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-16,AA00-ABCDE126,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
# start-moment - standard variations,,,,,,,,,,
sponsorship-17,AA00-ABCDE127,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-30,AA00-ABCDE1230,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",1999/12/31 23:59,2027/09/01 10:00,http://lorem.com/ipsum,FALSE,sponsor-01
sponsorship-18,AA00-ABCDE128,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/07 23:59,2027/09/01 10:00,http://lorem.com/ipsum,FALSE,sponsor-01
sponsorship-19,AA00-ABCDE129,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2201/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-20,AA00-ABCDE1210,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,FALSE,sponsor-01
sponsorship-21,AA00-ABCDE1211,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/09/01 10:01,2027/09/01 10:00,http://lorem.com/ipsum,FALSE,sponsor-01
# end-moment - standard variations,,,,,,,,,,
sponsorship-22,AA00-ABCDE1212,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-31,AA00-ABCDE1231,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,1999/12/31 23:59,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-23,AA00-ABCDE1213,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2025/01/07 23:59,http://lorem.com/ipsum,FALSE,sponsor-01
sponsorship-24,AA00-ABCDE1214,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2201/01/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
# more-info - standard variations,,,,,,,,,,
sponsorship-25,AA00-ABCDE1215,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://,TRUE,sponsor-01
sponsorship-26,AA00-ABCDE1216,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,ftp://,TRUE,sponsor-01
sponsorship-27,AA00-ABCDE1217,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://a,TRUE,sponsor-01
sponsorship-28,AA00-ABCDE1218,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,ftp://a,TRUE,sponsor-01
sponsorship-29,AA00-ABCDE1219,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/x",TRUE,sponsor-01
